,teamId,playerId,playerName,min,xG,eventType,teamColor,match_id,isOwnGoal,x,y,situation,teamName
62,6603,792024,Jeremy Ebobisse,3,0.0474729239940643,AttemptSaved,#212123,3787286,False,97.2807032260393,48.13452442837426,RegularPlay,San Jose Earthquakes
66,6603,792024,Jeremy Ebobisse,15,0.0454323291778564,Miss,#212123,3787286,False,84.84999828153444,24.139362527556436,RegularPlay,San Jose Earthquakes
75,6603,792024,Jeremy Ebobisse,43,0.1224961280822753,Miss,#212123,3787286,False,90.5,30.26799981689453,RegularPlay,San Jose Earthquakes
87,6603,792024,Jeremy Ebobisse,78,0.1172390580177307,AttemptSaved,#212123,3787286,False,94.0964897540607,31.255001163482664,SetPiece,San Jose Earthquakes
161,1218886,510698,Sebastian Driussi,43,0.130507618188858,Goal,#51B051,3787289,False,98.0526286338214,23.018344487843564,RegularPlay,Austin FC
174,1218886,510698,Sebastian Driussi,73,0.3420270085334778,Miss,#51B051,3787289,False,96.3157909450393,35.83000116348267,RegularPlay,Austin FC
267,773958,750913,Luiz Araujo,7,0.0209390521049499,AttemptSaved,#751413,3787284,False,73.02475556553443,43.93070277037427,FreeKick,Atlanta United
271,773958,750913,Luiz Araujo,20,0.2810673117637634,Goal,#751413,3787284,False,93.0999984741211,37.86404890346489,RegularPlay,Atlanta United
353,915807,394462,Hany Mukhtar,6,0.0164410769939422,Miss,#1E1742,3787281,False,78.76844316626887,41.65687411785126,RegularPlay,Nashville SC
355,915807,394462,Hany Mukhtar,23,0.0797030329704284,AttemptSaved,#1E1742,3787281,False,88.28529739375176,34.91500058174134,RegularPlay,Nashville SC
356,915807,394462,Hany Mukhtar,24,0.0354052484035491,AttemptSaved,#1E1742,3787281,False,86.9970571851241,17.833630040556432,RegularPlay,Nashville SC
458,6603,792024,Jeremy Ebobisse,46,0.0452297031879425,AttemptSaved,#212123,3787302,False,83.6111650488,41.5990625,RegularPlay,San Jose Earthquakes
542,915807,394462,Hany Mukhtar,33,0.1846709251403808,AttemptSaved,#1E1742,3787298,False,86.13823856975176,32.62750058174133,FreeKick,Nashville SC
549,915807,394462,Hany Mukhtar,52,0.0760003924369812,AttemptSaved,#1E1742,3787298,False,93.4000015258789,44.0708280208,RegularPlay,Nashville SC
554,915807,394462,Hany Mukhtar,63,0.1504674851894378,AttemptSaved,#1E1742,3787298,False,93.0999984741211,36.2875,RegularPlay,Nashville SC
561,915807,394462,Hany Mukhtar,76,0.1778245270252227,Miss,#1E1742,3787298,False,100.16379455075412,22.8782165647,RegularPlay,Nashville SC
609,1323940,558136,Karol Swiderski,43,0.0463696122169494,AttemptSaved,#333333,3787296,False,83.16067789353444,44.7714649638,RegularPlay,Charlotte
610,1323940,558136,Karol Swiderski,43,0.0463696122169494,AttemptSaved,#333333,3787296,False,83.16067789353444,44.7714649638,RegularPlay,Charlotte FC
625,1218886,510698,Sebastian Driussi,5,0.0185051560401916,AttemptSaved,#51B051,3787295,False,74.15096915753443,38.70452509346489,RegularPlay,Austin FC
627,1218886,510698,Sebastian Driussi,22,0.1347317695617675,Goal,#51B051,3787295,False,92.5,36.2875,RegularPlay,Austin FC
633,1218886,510698,Sebastian Driussi,51,0.4529468119144439,Goal,#51B051,3787295,False,97.8596491223,35.06750116348267,RegularPlay,Austin FC
639,1218886,510698,Sebastian Driussi,69,0.1335737109184265,Miss,#51B051,3787295,False,88.9000015258789,31.255001163482664,RegularPlay,Austin FC
707,1323940,558136,Karol Swiderski,40,0.1735028624534607,AttemptSaved,#333333,3787259,False,98.4385950185607,33.46624941825866,RegularPlay,Charlotte
708,1323940,558136,Karol Swiderski,40,0.1735028624534607,AttemptSaved,#333333,3787259,False,98.4385950185607,33.46624941825866,RegularPlay,Charlotte FC
709,1323940,558136,Karol Swiderski,43,0.2903361022472381,AttemptSaved,#333333,3787259,False,98.5350847743214,32.70374941825867,RegularPlay,Charlotte
710,1323940,558136,Karol Swiderski,43,0.2903361022472381,AttemptSaved,#333333,3787259,False,98.5350847743214,32.70374941825867,RegularPlay,Charlotte FC
713,1323940,558136,Karol Swiderski,55,0.0966185331344604,AttemptSaved,#333333,3787259,False,92.0,41.42562544107437,RegularPlay,Charlotte
714,1323940,558136,Karol Swiderski,55,0.0966185331344604,AttemptSaved,#333333,3787259,False,92.0,41.42562544107437,RegularPlay,Charlotte FC
815,867280,452368,Cristian Arango,45,0.0367155373096466,Miss,#000000,3787294,False,97.6666696107786,43.10218661785126,FromCorner,Los Angeles FC
821,867280,452368,Cristian Arango,71,0.0517914593219757,Miss,#000000,3787294,False,77.19175101133112,31.40749883651733,FreeKick,Los Angeles FC
829,867280,452368,Cristian Arango,84,0.0303614139556884,Post,#000000,3787294,False,96.1228040718214,29.127382233464893,RegularPlay,Los Angeles FC
833,867280,452368,Cristian Arango,90,0.1702103912830352,Miss,#000000,3787294,False,91.3000030517578,34.22874941825867,RegularPlay,Los Angeles FC
845,867280,452368,Cristian Arango,79,0.0763345062732696,Post,#000000,3787293,False,87.53382189112412,23.368662959343567,RegularPlay,Los Angeles FC
952,6603,792024,Jeremy Ebobisse,47,0.0327217280864715,AttemptSaved,#212123,3787264,False,97.2807032260393,20.4259872642,RegularPlay,San Jose Earthquakes
958,6603,792024,Jeremy Ebobisse,77,0.0001396536827087,Miss,#212123,3787264,False,92.9000015258789,37.05,RegularPlay,San Jose Earthquakes
1018,1218886,510698,Sebastian Driussi,90,0.0854318141937255,Miss,#51B051,3787261,False,97.5701724933214,29.96785842346489,RegularPlay,Austin FC
1028,915807,394462,Hany Mukhtar,35,0.0165179073810577,Miss,#1E1742,3787263,False,73.70048200226887,34.53375058174134,RegularPlay,Nashville SC
1082,1218886,510698,Sebastian Driussi,5,0.0523837208747863,Miss,#51B051,3787272,False,89.5,28.62309459576756,FromCorner,Austin FC
1083,1218886,510698,Sebastian Driussi,10,0.1235130429267883,AttemptSaved,#51B051,3787272,False,92.5,36.74499883651734,RegularPlay,Austin FC
1112,1218886,510698,Sebastian Driussi,85,0.0976389050483703,Miss,#51B051,3787272,False,96.79824708553927,35.44875116348267,RegularPlay,Austin FC
1113,1218886,510698,Sebastian Driussi,86,0.0622016489505767,AttemptSaved,#51B051,3787272,False,86.46029247912412,30.26799981689453,RegularPlay,Austin FC
1114,1218886,510698,Sebastian Driussi,90,0.0377691686153411,Miss,#51B051,3787272,False,83.72378468953444,37.719999908447264,RegularPlay,Austin FC
1116,1323940,558136,Karol Swiderski,6,0.3264697790145874,Goal,#333333,3787271,False,101.39654883049172,27.950714285,RegularPlay,Charlotte
1117,1323940,558136,Karol Swiderski,6,0.3264697790145874,Goal,#333333,3787271,False,101.39654883049172,27.950714285,RegularPlay,Charlotte FC
1125,1323940,558136,Karol Swiderski,33,0.0959960222244262,Miss,#333333,3787271,False,86.46029247912412,31.40749883651733,RegularPlay,Charlotte
1126,1323940,558136,Karol Swiderski,33,0.0959960222244262,Miss,#333333,3787271,False,86.46029247912412,31.40749883651733,RegularPlay,Charlotte FC
1133,1323940,558136,Karol Swiderski,52,0.0449474155902862,Miss,#333333,3787271,False,82.14708394226886,37.65999941825866,RegularPlay,Charlotte
1134,1323940,558136,Karol Swiderski,52,0.0449474155902862,Miss,#333333,3787271,False,82.14708394226886,37.65999941825866,RegularPlay,Charlotte FC
1135,1323940,558136,Karol Swiderski,55,0.0401973128318786,Goal,#333333,3787271,False,79.55679783606556,20.7763057357,FreeKick,Charlotte
1136,1323940,558136,Karol Swiderski,55,0.0401973128318786,Goal,#333333,3787271,False,79.55679783606556,20.7763057357,FreeKick,Charlotte FC
1316,1323940,558136,Karol Swiderski,6,0.0461092889308929,Goal,#333333,3787278,False,81.80922502006557,33.61875,RegularPlay,Charlotte
1317,1323940,558136,Karol Swiderski,6,0.0461092889308929,Goal,#333333,3787278,False,81.80922502006557,33.61875,RegularPlay,Charlotte FC
1322,1323940,558136,Karol Swiderski,16,0.0290538668632507,AttemptSaved,#333333,3787278,False,93.1999969482422,29.295474906535112,SetPiece,Charlotte
1323,1323940,558136,Karol Swiderski,16,0.0290538668632507,AttemptSaved,#333333,3787278,False,93.1999969482422,29.295474906535112,SetPiece,Charlotte FC
1336,1323940,558136,Karol Swiderski,45,0.1014873385429382,AttemptSaved,#333333,3787278,False,102.43965806650829,41.541250882148745,FromCorner,Charlotte
1337,1323940,558136,Karol Swiderski,45,0.1014873385429382,AttemptSaved,#333333,3787278,False,102.43965806650829,41.541250882148745,FromCorner,Charlotte FC
1340,1323940,558136,Karol Swiderski,57,0.1071018576622009,Goal,#333333,3787278,False,93.0999984741211,40.30142793076755,RegularPlay,Charlotte
1341,1323940,558136,Karol Swiderski,57,0.1071018576622009,Goal,#333333,3787278,False,93.0999984741211,40.30142793076755,RegularPlay,Charlotte FC
1344,1323940,558136,Karol Swiderski,62,0.0617705881595611,Miss,#333333,3787278,False,88.07058659712412,30.95,RegularPlay,Charlotte
