season,player,total_minutes_played,n_rage_fouls
2020,Seamus Coleman,1744,1
2020,Ashley Barnes,1419,1
2020,Jay Rodriguez,1375,1
2020,Ahmed El Mohamady,919,1
2020,Jake Livermore,1382,1
2020,Nemanja Matic,1229,1
2020,Andriy Yarmolenko,436,1
2020,Enda Stevens,2910,1
2020,Joel Ward,2429,1
2020,Nathaniel Clyne,1216,1
2020,Craig Dawson,2130,1
2020,Xherdan Shaqiri,610,1
2020,Cenk Tosun,69,1
2020,Ilkay Gundogan,2173,1
2020,Matthew Lowton,3275,1
2020,Allan,2214,1
2020,Ryan Fredericks,625,1
2020,Marcos Alonso,1039,1
2020,Wilfried Zaha,2810,1
2020,Jannik Vestergaard,2861,1
2020,Granit Xhaka,2748,1
2020,Manuel Lanzini,636,1
2020,Nampalys Mendy,1664,1
2020,Danny Ings,2318,1
2020,Ben Mee,2878,1
2020,Raheem Sterling,2706,1
2020,Paul Pogba,2053,1
2020,Bernard,506,1
2020,Pierre-Emile Hojbjerg,3686,1
2020,Antonio Rudiger,1835,1
2020,Jorginho,2152,1
2020,Charlie Taylor,2590,1
2020,Michael Keane,3235,1
2020,John Egan,2920,1
2020,Javier Manquillo,894,1
2020,Bertrand Traore,2458,1
2020,Joel Veltman,2439,1
2020,Jack Grealish,2361,1
2020,N'Golo Kante,2301,1
2020,Fred,2554,1
2020,Morgan Sanson,327,1
2020,Hakim Ziyech,1242,1
2020,Fabinho,2786,1
2020,Luke Shaw,2869,1
2020,Marcal,698,1
2020,Solly March,1807,1
2020,Arthur Masuaku,1064,1
2020,Tyrone Mings,3506,1
2020,Bruno Fernandes,3314,1
2020,Calum Chambers,813,1
2020,Kortney Hause,681,1
2020,George Baldock,2981,1
2020,Allan Saint-Maximin,1668,1
2020,Max Lowe,587,1
2020,Jan Bednarek,3344,1
2020,Said Benrahma,1510,1
2020,Ivan Cavaleiro,2629,1
2020,Oliver McBurnie,1440,1
2020,Jacob Murphy,1783,1
